participant_id,mapping,trial_number,presentation_order,completion_time_s,final_position_error,final_orientation_error_deg,mode_switches,path_length
P01,desktop-1,1,1,20710.855,0.0220,4.60,2,2.3957
P01,desktop-1,2,2,119.476,0.0310,4.34,8,6.1635
P01,desktop-1,3,3,72.300,0.0276,7.86,5,1.9705
